iter	Passed	Remaining
0	17	31183
1	28	26026
2	48	29762
3	74	33884
4	87	31807
5	126	38253
6	142	37004
7	156	35641
8	183	37112
9	205	37381
10	224	37064
11	244	36923
12	271	37810
13	289	37456
14	314	37922
15	350	39659
16	383	40850
17	398	40033
18	459	43745
19	478	43221
20	541	46514
21	601	49288
22	664	52078
23	684	51406
24	745	53708
25	810	56079
26	835	55638
27	896	57538
28	959	59456
29	987	59113
30	1022	59195
31	1041	58398
32	1058	57502
33	1079	56891
34	1116	57113
35	1178	58615
36	1241	60010
37	1293	60861
38	1354	62064
39	1370	61195
40	1405	61195
41	1466	62277
42	1499	62168
43	1520	61587
44	1580	62566
45	1630	63091
46	1647	62364
47	1708	63294
48	1726	62597
49	1787	63505
50	1813	63100
51	1846	62996
52	1920	64235
53	1976	64848
54	1995	64240
55	2023	63949
56	2046	63509
57	2103	64122
58	2132	63855
59	2198	64699
60	2249	65090
61	2267	64514
62	2287	64026
63	2307	63536
64	2341	63440
65	2360	62954
66	2424	63652
67	2486	64286
68	2506	63815
69	2555	64094
70	2617	64694
71	2666	64947
72	2679	64343
73	2732	64683
74	2794	65233
75	2811	64747
76	2875	65305
77	2942	65945
78	3006	66475
79	3020	65916
80	3041	65530
81	3053	64941
82	3066	64405
83	3082	63934
84	3096	63419
85	3113	62985
86	3124	62450
87	3143	62083
88	3156	61606
89	3168	61116
90	3235	61693
91	3263	61514
92	3274	61014
93	3285	60535
94	3296	60069
95	3305	59559
96	3316	59120
97	3325	58631
98	3336	58210
99	3401	58711
100	3415	58326
101	3427	57925
102	3438	57527
103	3499	57945
104	3559	58338
105	3569	57920
106	3581	57544
107	3591	57126
108	3605	56794
109	3618	56447
110	3629	56070
111	3642	55750
112	3654	55394
113	3717	55821
114	3729	55483
115	3789	55867
116	3844	56151
117	3856	55818
118	3917	56200
119	3985	56654
120	4054	57131
121	4109	57403
122	4122	57079
123	4144	56891
124	4154	56540
125	4165	56200
126	4174	55849
127	4214	55913
128	4226	55603
129	4291	55992
130	4307	55728
131	4318	55415
132	4330	55119
133	4343	54846
134	4358	54589
135	4371	54323
136	4381	54015
137	4390	53709
138	4398	53382
139	4464	53764
140	4474	53466
141	4483	53173
142	4545	53497
143	4555	53213
144	4616	53519
145	4626	53234
146	4641	53015
147	4650	52730
148	4661	52460
149	4670	52189
150	4681	51930
151	4742	52226
152	4754	51983
153	4765	51737
154	4775	51485
155	4786	51242
156	4799	51020
157	4808	50768
158	4818	50522
159	4829	50287
160	4839	50052
161	4849	49808
162	4860	49584
163	4869	49346
164	4929	49623
165	4943	49435
166	4955	49227
167	4967	49020
168	4978	48814
169	4990	48610
170	4999	48386
171	5012	48199
172	5021	47979
173	5030	47764
174	5043	47578
175	5052	47368
176	5061	47158
177	5071	46955
178	5081	46758
179	5091	46561
180	5101	46362
181	5111	46174
182	5174	46460
183	5185	46275
184	5194	46078
185	5204	45885
186	5215	45715
187	5224	45516
188	5232	45319
189	5242	45139
190	5257	45008
191	5267	44825
192	5275	44633
193	5282	44442
194	5290	44252
195	5298	44064
196	5306	43876
197	5366	44120
198	5428	44384
199	5438	44211
200	5499	44458
201	5509	44294
202	5570	44540
203	5632	44786
204	5683	44942
205	5745	45186
206	5807	45423
207	5816	45244
208	5826	45078
209	5838	44925
210	5852	44796
211	5864	44644
212	5875	44495
213	5890	44368
214	5901	44223
215	5912	44070
216	5923	43919
217	5933	43769
218	6001	44041
219	6065	44279
220	6077	44136
221	6088	43993
222	6099	43848
223	6113	43718
224	6124	43579
225	6137	43452
226	6149	43317
227	6162	43192
228	6172	43049
229	6239	43295
230	6248	43147
231	6317	43408
232	6327	43262
233	6337	43114
234	6346	42966
235	6356	42824
236	6364	42671
237	6373	42528
238	6435	42730
