iter	RMSE
0	7.957414487
1	5.593156742
2	3.939730767
3	2.781196716
4	1.969352958
5	1.404447804
6	1.013852239
7	0.738530216
8	0.5514464345
9	0.4322082312
10	0.3579355726
11	0.3029431236
12	0.2681846172
13	0.2494858758
14	0.2362166172
15	0.2290276215
16	0.2190355192
17	0.2160102035
18	0.2109092863
19	0.2067767267
20	0.2064180741
21	0.2059636388
22	0.2045685261
23	0.2040098852
24	0.2039528746
25	0.2039148181
26	0.2037660595
27	0.2037186712
28	0.2036625531
29	0.2036292569
30	0.2036280205
31	0.2036025411
32	0.2036016793
33	0.2035881326
34	0.2035819117
35	0.203573011
36	0.1988315113
37	0.1987436699
38	0.1931211739
39	0.1931211542
40	0.193121164
41	0.1931211542
42	0.193121164
43	0.190349833
44	0.1903468971
45	0.1903464762
46	0.1903455343
47	0.1903443318
48	0.1902660655
49	0.190265835
50	0.1902652034
51	0.1902139303
52	0.190213459
53	0.1902132484
54	0.1902131381
55	0.187245341
56	0.1872452697
57	0.1872452493
58	0.1872452289
59	0.1872452187
60	0.1872452086
61	0.1872452187
62	0.1872452187
63	0.1872452086
64	0.1872452086
65	0.1872452086
66	0.1872452187
67	0.1872452086
68	0.1785204009
69	0.169484795
70	0.1694671313
71	0.1677067645
72	0.1677061674
73	0.1676659869
74	0.1676593888
75	0.1663715394
76	0.1649218449
77	0.1646917689
78	0.1646801582
79	0.162185429
80	0.1621564844
81	0.1621376987
82	0.1621322579
83	0.1619666635
84	0.1619539624
85	0.1619187509
86	0.161868438
87	0.1618665114
88	0.1618660695
89	0.1618625521
90	0.1618505322
91	0.1617863227
92	0.1580440945
93	0.1566788427
94	0.1566429324
95	0.1566396022
96	0.1566379096
97	0.1566370633
98	0.1566366432
99	0.156636424
100	0.1566363266
101	0.156636284
102	0.1566362414
103	0.1553982215
104	0.1553946866
105	0.1553945761
106	0.1553926245
107	0.1553914953
108	0.1553914462
109	0.1553914155
110	0.1553913971
111	0.1553907281
112	0.1546295921
113	0.1546023973
114	0.1545819718
115	0.1545379347
116	0.1508956807
117	0.1497730254
118	0.1497728663
119	0.1497550108
120	0.1497119554
121	0.1497116496
122	0.1497114522
123	0.1496700727
124	0.1496601706
125	0.1496259667
126	0.149596683
127	0.1495966766
128	0.1461942309
129	0.1461810858
130	0.1461701252
131	0.1461116678
132	0.1461080648
133	0.1460978103
134	0.1460976797
135	0.1460954211
136	0.1453848907
137	0.1453672113
138	0.1451208216
139	0.1451118971
140	0.1444961291
141	0.1444810869
142	0.1444341088
143	0.1443252597
144	0.1443246055
145	0.1442925076
146	0.1442921243
147	0.1442710522
148	0.1442565683
149	0.1442517489
150	0.1442418053
151	0.1441783196
152	0.1441783064
153	0.1438057567
154	0.1438057435
155	0.1438057236
156	0.1434648289
157	0.1434566324
158	0.1434529627
159	0.1434501506
160	0.14239961
161	0.1423992216
162	0.1423990474
163	0.1423989671
164	0.1394973027
165	0.1394972685
166	0.1394972548
167	0.1375908638
168	0.1367744167
169	0.136719887
170	0.13671988
171	0.1367198033
172	0.1367198103
173	0.1367197963
174	0.1367198033
175	0.1367198033
176	0.1367197684
177	0.1367197684
178	0.1367197614
179	0.1367197405
180	0.1367197405
181	0.1367197475
182	0.1367197475
183	0.1367197405
184	0.1367197266
185	0.1367197196
186	0.1367197266
187	0.1349934527
188	0.1349934456
189	0.1348366406
190	0.1348366335
191	0.1346405741
192	0.1346260458
193	0.1346260458
194	0.1346260458
195	0.1346260458
196	0.1346247424
197	0.1345701991
198	0.1345695755
199	0.1345695755
200	0.1345695613
201	0.1345632822
202	0.1335339864
203	0.1335314368
204	0.1335284014
205	0.1335284014
206	0.13352798
207	0.1335261588
208	0.1335246089
209	0.1335228733
210	0.1335213663
211	0.1335200663
212	0.1335189592
213	0.1335182307
214	0.1319013293
215	0.13189608
216	0.1318901075
217	0.1318891169
218	0.1318840045
219	0.1318835707
220	0.1318827752
221	0.1318824643
222	0.1318568994
223	0.131856234
224	0.1318366392
225	0.1317119208
226	0.1317115878
227	0.1317074968
228	0.1317066641
229	0.1317064106
230	0.1317064034
231	0.1317064106
232	0.1317064106
233	0.1317063961
234	0.1317064034
235	0.1317064034
236	0.1316699621
237	0.1310748139
238	0.1310735406
239	0.1310608364
240	0.1310602688
241	0.1310598104
242	0.1310595484
243	0.1310594829
244	0.1310594829
245	0.1310593083
246	0.1310592719
247	0.1310591773
248	0.1310591191
249	0.1310590827
250	0.1294941318
251	0.1285378109
252	0.1282336189
253	0.1282335966
254	0.1280287516
255	0.1269827114
256	0.1269775893
257	0.1269734659
258	0.1269731955
259	0.1269730528
260	0.1269672919
261	0.1269672168
262	0.1269653915
263	0.1269465744
264	0.1269390166
265	0.1266973836
266	0.1259953126
267	0.1256624103
268	0.1250665526
269	0.1250658205
270	0.1250649932
271	0.1244827057
272	0.1244286104
273	0.1242398265
274	0.124232273
275	0.1242307261
276	0.1240992671
277	0.1240992556
278	0.1240992632
279	0.1240992556
280	0.124099244
281	0.1240963199
282	0.1240944256
283	0.1240944256
284	0.1240944256
285	0.1240923429
286	0.1240923468
287	0.1240923429
288	0.1240923391
289	0.1240919318
290	0.1240904254
291	0.1240630204
292	0.1232498713
293	0.123246428
294	0.1232104026
295	0.1232029485
296	0.1231978241
