iter	RMSE
0	143393.57
1	132007.5414
2	122340.248
3	113497.6167
4	105187.0282
5	98046.71104
6	91283.77159
7	85644.78816
8	80238.14719
9	75211.97071
10	70837.00626
11	66857.62587
12	63369.65289
13	60228.9749
14	57273.66492
15	54728.66896
16	52509.68371
17	50403.88839
18	48551.20155
19	46981.7829
20	45422.15527
21	44041.74521
22	42788.4646
23	41736.45689
24	40651.07567
25	39614.65224
26	38767.26943
27	38031.60925
28	37335.94658
29	36655.1158
30	35893.25114
31	35387.04285
32	34813.50713
33	34306.25933
34	33898.68973
35	33477.33847
36	33192.59698
37	32844.15805
38	32477.0884
39	32207.46857
40	31801.10034
41	31447.21987
42	31273.84476
43	31065.98373
44	30780.71156
45	30583.94305
46	30262.42748
47	30030.30697
48	29775.67504
49	29620.8572
50	29451.96703
51	29261.65836
52	29132.68376
53	28970.41547
54	28838.23559
55	28695.29152
56	28591.79376
57	28405.33699
58	28180.1192
59	28036.63797
60	27927.66523
61	27846.10609
62	27675.72587
63	27573.05293
64	27511.87477
65	27393.81702
66	27263.99289
67	27125.54531
68	26988.93148
69	26782.25615
70	26692.31089
71	26583.70919
72	26479.97569
73	26369.3148
74	26288.57353
75	26178.37178
76	26024.69864
77	25880.72465
78	25782.31945
79	25667.24653
80	25620.09688
81	25482.24626
82	25341.556
83	25255.33264
84	25181.08478
85	25047.32756
86	24968.68959
87	24884.52641
88	24781.27122
89	24659.47023
90	24557.34736
91	24494.13969
92	24392.17693
93	24316.81037
94	24190.27344
95	24131.71206
96	24032.40479
97	23912.42486
98	23781.3153
99	23680.21567
100	23607.51577
101	23475.57415
102	23419.81715
103	23290.64965
104	23182.0189
105	23131.72048
106	23047.1462
107	22978.87437
108	22905.441
109	22827.41882
110	22753.53904
111	22696.20796
112	22591.01205
113	22530.7323
114	22455.46566
115	22381.13463
116	22299.68397
117	22221.43073
118	22167.83786
119	22133.71589
120	22067.30183
121	22015.2512
122	21940.68141
123	21915.19115
124	21821.94646
125	21754.77001
126	21709.33874
127	21612.11729
128	21526.83974
129	21481.10828
130	21408.48102
131	21378.43393
132	21336.58255
133	21284.49138
134	21258.73377
135	21195.52069
136	21139.05864
137	21098.9962
138	21042.71633
139	20982.89692
140	20879.04199
141	20822.21069
142	20712.8089
143	20636.79096
144	20603.57519
145	20523.01687
146	20475.37337
147	20436.01806
148	20386.36819
149	20318.09332
150	20261.28792
151	20193.17846
152	20170.82708
153	20091.09807
154	20043.47595
155	19967.95793
156	19926.48771
157	19856.6112
158	19813.54194
159	19758.58336
160	19701.84154
161	19669.31136
162	19634.78461
163	19584.57975
164	19532.35326
165	19513.40895
166	19434.27351
167	19370.38749
168	19318.39166
169	19282.03178
170	19234.76127
171	19143.74178
172	19118.61888
173	19059.97225
174	19032.53716
175	18996.73001
176	18945.64978
177	18868.11333
178	18829.61165
179	18778.30814
180	18737.4282
181	18702.24012
182	18661.5006
183	18619.19155
184	18584.32738
185	18548.70448
186	18500.14003
187	18447.26785
188	18421.96605
189	18385.82988
190	18371.77395
191	18318.64304
192	18263.87273
193	18233.75522
194	18204.07059
195	18191.22087
196	18172.96299
197	18104.3396
198	18063.95991
199	17998.30275
200	17952.50383
201	17918.50022
202	17867.03885
203	17839.7903
204	17805.82609
205	17777.23513
206	17746.75234
207	17704.09993
208	17651.74005
209	17596.55913
210	17546.58671
211	17498.25247
212	17466.20864
213	17421.83022
214	17397.23334
215	17344.34516
216	17308.5972
217	17284.32274
218	17259.20342
219	17219.87265
220	17180.73031
221	17155.77519
222	17124.28321
223	17069.40644
224	17032.37642
225	17012.33512
226	16981.83762
227	16948.32335
228	16874.71959
229	16842.40466
230	16800.36187
231	16780.46685
232	16762.85049
233	16735.38347
234	16652.88802
235	16623.79795
236	16600.01618
237	16576.90522
238	16562.40017
239	16521.64062
240	16481.8952
241	16458.32252
242	16404.02178
243	16359.03265
244	16323.44098
245	16298.53143
246	16282.03748
247	16236.74344
248	16214.45769
249	16174.52834
250	16141.16953
251	16122.9137
252	16096.08001
253	16071.38971
254	16047.27569
255	16008.85137
256	15966.27862
257	15946.31321
258	15925.67394
259	15910.98267
260	15866.36453
261	15836.62756
262	15795.53386
263	15749.61788
264	15693.43885
265	15677.04653
266	15661.01923
267	15629.90864
268	15611.04735
269	15592.11894
270	15558.94064
271	15540.10715
272	15514.48414
273	15482.94174
274	15443.33154
275	15420.58843
276	15406.00852
277	15365.33981
278	15349.23153
279	15313.10082
280	15278.84819
281	15252.80493
282	15222.50307
283	15203.5427
284	15172.48001
285	15130.74731
286	15106.35507
287	15077.74225
288	15047.73622
289	15031.57795
290	15007.22131
291	14965.96529
292	14948.15192
293	14931.89065
294	14897.39353
295	14861.87778
296	14829.90713
297	14807.43279
298	14788.40628
299	14734.9179
300	14698.5137
301	14669.61336
302	14644.37199
303	14609.29911
304	14589.03739
305	14563.43612
306	14531.79819
307	14514.18375
308	14490.89646
309	14464.59506
310	14413.07699
311	14392.32891
312	14368.13232
313	14346.64546
314	14309.89368
315	14280.1125
316	14261.72059
317	14248.16133
318	14217.53021
319	14181.94455
320	14151.10197
321	14122.30504
322	14095.29588
323	14069.81726
324	14049.87253
325	14023.2362
326	14005.26983
327	13969.66761
328	13950.17665
329	13931.77978
330	13910.19806
331	13896.64108
332	13860.96149
333	13852.1394
334	13834.57558
335	13820.98957
336	13803.45617
337	13789.44302
338	13759.6039
339	13744.7818
340	13720.39522
341	13702.96189
342	13683.19706
343	13666.87432
344	13652.11534
345	13633.37609
346	13619.74319
347	13607.27313
348	13584.26736
349	13555.02389
350	13530.06863
351	13503.8428
352	13486.93369
353	13471.7421
354	13453.47936
355	13413.48917
356	13393.91471
357	13378.12096
358	13366.04808
359	13360.18455
360	13344.90378
361	13329.84261
362	13297.44635
363	13260.3627
364	13238.27973
365	13212.90098
366	13198.84793
367	13182.58166
368	13169.64778
369	13131.08728
370	13106.21466
371	13091.94833
372	13079.57472
373	13064.80324
374	13034.18566
375	13008.43442
376	12985.50654
377	12967.90064
378	12952.93167
379	12934.50733
380	12924.79196
381	12892.76569
382	12879.27108
383	12851.33543
384	12834.60068
385	12823.90008
386	12797.16998
387	12773.63636
388	12754.8801
389	12729.78677
390	12695.91935
391	12682.57437
392	12666.50203
393	12651.04637
394	12644.21834
395	12610.68104
396	12602.60322
397	12585.9809
398	12568.62038
399	12546.68801
400	12538.04789
401	12516.76328
402	12500.20605
403	12482.48581
404	12465.16196
405	12445.10623
406	12428.03059
407	12413.23425
408	12396.05732
409	12368.43447
410	12339.95107
411	12310.71624
412	12300.94336
413	12268.60395
414	12254.10817
415	12242.60882
416	12230.07508
417	12209.04865
418	12185.93973
419	12164.63808
420	12144.13509
421	12128.98376
422	12109.84997
423	12084.20173
424	12068.74961
425	12058.61906
426	12045.90079
427	12036.0992
428	12012.40323
429	11996.64974
430	11985.75973
431	11973.4728
432	11953.27054
433	11936.52037
434	11926.72604
435	11912.50863
436	11886.02613
437	11867.92282
438	11853.60149
439	11830.83806
440	11814.72936
441	11808.35532
442	11794.01306
443	11783.82977
444	11773.70003
445	11765.63831
446	11735.86454
447	11716.47157
448	11710.90751
449	11701.61618
450	11691.35898
451	11671.98453
452	11653.66505
453	11643.48113
454	11612.52642
455	11588.02424
456	11569.07854
457	11559.27873
458	11543.38476
459	11520.68905
460	11510.34132
461	11498.87213
462	11485.92222
463	11475.3099
464	11460.31631
465	11449.68428
466	11432.84869
467	11416.08032
468	11409.1353
469	11394.05739
470	11379.8585
471	11371.30257
472	11348.9186
473	11328.8464
474	11318.43838
475	11308.42998
476	11298.36954
477	11283.07195
478	11274.07087
479	11266.76637
480	11256.16899
481	11232.83909
482	11206.95794
483	11199.94918
484	11188.27066
485	11154.5891
486	11128.5175
487	11114.55923
488	11103.31607
489	11091.74353
490	11084.31494
491	11070.1411
492	11061.12989
493	11043.97763
494	11025.35197
495	11008.07986
496	11003.32408
497	10995.91252
498	10985.13108
499	10972.03497
500	10962.86142
501	10955.10261
502	10946.76467
503	10925.90906
504	10918.64775
505	10892.91349
506	10877.60182
507	10863.39481
508	10848.1771
509	10836.77956
510	10829.42988
511	10817.01203
512	10807.58529
513	10796.37292
514	10780.15009
515	10773.10553
516	10761.8038
517	10738.06449
518	10732.4121
519	10725.4027
520	10715.81137
521	10700.08022
522	10686.29604
523	10678.73943
524	10672.44166
525	10659.93557
526	10650.78886
527	10646.79168
528	10611.42836
529	10595.59776
530	10581.44001
531	10571.00335
532	10552.07907
533	10536.08349
534	10526.04674
535	10512.13718
536	10498.64957
537	10495.30857
538	10490.88531
539	10467.25612
540	10453.40181
541	10444.20713
542	10440.00193
543	10429.14885
544	10418.60672
545	10406.96242
546	10393.40811
547	10380.73384
548	10375.49986
549	10364.16338
550	10358.68548
551	10347.23866
552	10337.83931
553	10330.35913
554	10313.0625
555	10306.38947
556	10285.55587
557	10271.27856
558	10266.96106
559	10259.09639
560	10250.93744
561	10235.01042
562	10227.45278
563	10218.6075
564	10199.40635
565	10193.77232
566	10188.02978
567	10183.8224
568	10173.07734
569	10162.98611
570	10149.71121
571	10138.91666
572	10126.72598
573	10110.14298
574	10098.2778
575	10093.20017
576	10085.06366
577	10081.2435
578	10077.53391
579	10071.63902
580	10065.1012
581	10056.37057
582	10044.9665
583	10038.23199
584	10028.66079
585	10018.01445
586	10012.7747
587	10003.94279
588	9991.420686
589	9969.487575
590	9947.659223
591	9944.73782
592	9934.919679
593	9926.715685
594	9910.279809
595	9894.913158
596	9885.740478
597	9881.563753
598	9874.12931
599	9868.705162
600	9861.566962
601	9852.014735
602	9843.312439
603	9833.51614
604	9815.861038
605	9813.561903
606	9801.981979
607	9799.030145
608	9787.813664
609	9778.144135
610	9768.742682
611	9753.807039
612	9746.555251
613	9724.574873
614	9717.975551
615	9710.697615
616	9701.522032
617	9692.948521
618	9683.434581
619	9675.99605
620	9670.05145
621	9653.412702
622	9642.367244
623	9635.74817
624	9631.920274
625	9617.205793
626	9604.95168
627	9593.344808
628	9582.483596
629	9568.222259
630	9563.923644
631	9552.361065
632	9537.369159
633	9530.535101
634	9527.005684
635	9509.861379
636	9491.059848
637	9480.272572
638	9477.280398
639	9465.253129
640	9454.687491
641	9443.723582
642	9436.698288
643	9425.048695
644	9406.020201
645	9395.795151
646	9384.360988
647	9371.342296
648	9360.562469
649	9352.326711
650	9341.88273
651	9337.371397
652	9327.671785
653	9320.009676
654	9309.142861
655	9302.077331
656	9298.090813
657	9290.130018
658	9284.268562
659	9271.281277
660	9267.546812
661	9260.298335
662	9251.914435
663	9245.45235
664	9241.44936
665	9233.498149
666	9230.358302
667	9224.651004
668	9215.610698
669	9208.590753
670	9200.816019
671	9193.770405
672	9175.855718
673	9162.812589
674	9157.838598
675	9146.555755
676	9135.126696
677	9131.140633
678	9120.534004
679	9110.672253
680	9102.808179
681	9097.680129
682	9091.508304
683	9086.521432
684	9079.008873
685	9068.428773
686	9059.614052
687	9049.241256
688	9039.448736
689	9028.744689
690	9022.518692
691	9013.805342
692	9008.447333
693	9003.155236
694	8994.69933
695	8985.657164
696	8981.892909
697	8978.925753
698	8972.510978
699	8967.697011
700	8961.385784
701	8950.528315
702	8948.40084
703	8945.037213
704	8934.165071
705	8928.084924
706	8918.343849
707	8911.581812
708	8907.290252
709	8897.582805
710	8889.910519
711	8884.105179
712	8875.312012
713	8865.016386
714	8854.068104
715	8851.191091
716	8840.999572
717	8834.712827
718	8824.688864
719	8817.077328
720	8813.870556
721	8804.392932
722	8797.064081
723	8789.497203
724	8783.870994
725	8775.94255
726	8771.497669
727	8769.692724
728	8762.144113
729	8756.002874
730	8748.946322
731	8737.684433
732	8735.731631
733	8724.674156
734	8717.957279
735	8712.212047
736	8708.201019
737	8702.854044
738	8698.444248
739	8691.494892
740	8684.910404
741	8679.167017
742	8670.801454
743	8666.998898
744	8656.778292
745	8642.802775
746	8637.942508
747	8631.517064
748	8624.233428
749	8615.567514
750	8606.846381
751	8602.185478
752	8596.88789
753	8593.570673
754	8587.670091
755	8578.877458
756	8573.844379
757	8569.762476
758	8564.117045
759	8554.421743
760	8549.966637
761	8548.185919
762	8542.133405
763	8535.740419
764	8526.552083
765	8523.692293
766	8515.486814
767	8506.731306
768	8499.553267
769	8495.171092
770	8489.127059
771	8482.258819
772	8477.472278
773	8466.450605
774	8461.957971
775	8456.013484
776	8454.211794
777	8444.677406
778	8440.350482
779	8434.804044
780	8428.120852
781	8423.080126
782	8418.580014
783	8415.561708
784	8407.562081
785	8397.54611
786	8387.511304
787	8381.18389
788	8371.154973
789	8365.568997
790	8362.071719
791	8353.294529
792	8348.511495
793	8341.829753
794	8335.994183
795	8324.292108
796	8320.204588
797	8314.329139
798	8312.215262
799	8302.859119
800	8294.15758
801	8292.653419
802	8286.651195
803	8281.971487
804	8277.707969
805	8272.472921
806	8267.73097
807	8259.508597
808	8256.321985
809	8251.955234
810	8245.173643
811	8241.17514
812	8237.798213
813	8232.961185
814	8230.041073
815	8225.381853
816	8219.339456
817	8216.720714
818	8211.2675
819	8204.616573
820	8196.672981
821	8191.207383
822	8186.348784
823	8177.85131
824	8171.871526
825	8168.405085
826	8163.128243
827	8157.048084
828	8152.113207
829	8148.489892
830	8143.973794
831	8135.998723
832	8131.87588
833	8125.156035
834	8120.608232
835	8111.701487
836	8100.958711
