iter	Passed	Remaining
0	3	9047
1	5	8610
2	7	7987
3	10	7614
4	12	7545
5	14	7431
6	17	7377
7	19	7281
8	21	7255
9	24	7224
10	26	7265
11	29	7324
12	31	7338
13	34	7307
14	36	7283
15	39	7285
16	41	7272
17	43	7277
18	46	7280
19	48	7281
20	51	7280
21	53	7263
22	56	7264
23	58	7261
24	60	7251
25	63	7229
26	65	7217
27	67	7213
28	70	7209
29	73	7250
30	75	7250
31	78	7245
32	80	7241
33	82	7229
34	85	7236
35	87	7227
36	90	7221
37	92	7216
38	94	7209
39	97	7210
40	99	7208
41	102	7212
42	104	7210
43	107	7204
44	109	7212
45	112	7209
46	115	7228
47	117	7235
48	120	7239
49	122	7237
50	125	7235
51	127	7233
52	130	7238
53	132	7231
54	134	7226
55	137	7217
56	139	7210
57	141	7201
58	144	7197
59	146	7191
60	149	7187
61	151	7180
62	153	7173
63	156	7172
64	158	7170
65	161	7174
66	163	7169
67	166	7157
68	168	7152
69	170	7148
70	173	7153
71	175	7154
72	178	7153
73	180	7146
74	182	7135
75	185	7129
76	187	7123
77	190	7125
78	192	7124
79	195	7119
80	197	7112
81	199	7104
82	202	7102
83	204	7108
84	207	7106
85	209	7101
86	211	7094
87	214	7086
88	216	7076
89	218	7069
90	221	7065
91	223	7062
92	225	7053
93	228	7049
94	230	7046
95	232	7040
96	234	7032
97	237	7031
98	239	7025
99	242	7019
100	244	7015
101	246	7012
102	249	7009
103	251	7005
104	253	7001
105	256	6997
106	258	6992
107	260	6986
108	263	6981
109	265	6973
110	268	6977
111	270	6975
112	272	6972
113	275	6967
114	277	6962
115	279	6958
116	282	6958
117	284	6959
118	287	6962
119	290	6963
120	292	6962
121	295	6966
122	298	6978
123	300	6974
124	303	6974
125	305	6975
126	308	6974
127	310	6973
128	313	6972
129	315	6970
130	317	6964
131	320	6955
132	322	6951
133	324	6942
134	326	6934
135	329	6933
136	331	6931
137	333	6926
138	336	6919
139	338	6914
140	340	6907
141	343	6903
142	345	6899
143	347	6894
144	349	6890
145	352	6884
146	354	6879
147	356	6875
148	359	6871
149	361	6870
150	364	6869
151	366	6866
152	368	6861
153	371	6857
154	373	6852
155	375	6851
156	378	6846
157	380	6840
158	382	6835
159	384	6830
160	387	6826
161	389	6822
162	391	6820
163	394	6816
164	396	6814
165	399	6811
166	401	6808
167	403	6808
168	406	6810
169	408	6807
170	411	6801
171	413	6797
172	415	6793
173	418	6790
174	420	6785
175	422	6785
176	425	6784
177	427	6780
178	430	6777
179	432	6771
180	434	6768
181	436	6766
182	439	6765
183	441	6761
184	444	6757
185	446	6760
186	449	6758
187	451	6756
188	454	6753
189	456	6750
190	458	6746
191	461	6742
192	463	6737
193	465	6733
194	467	6730
195	470	6731
196	472	6728
197	475	6731
198	478	6732
199	480	6729
200	483	6731
201	485	6730
202	488	6731
203	491	6729
204	493	6729
205	496	6728
206	498	6729
207	501	6731
208	503	6729
209	506	6728
210	508	6727
211	511	6728
212	514	6728
213	516	6726
214	519	6723
215	521	6723
216	524	6724
217	526	6721
218	529	6719
219	531	6717
220	533	6714
221	536	6713
222	539	6712
223	541	6710
224	544	6710
225	546	6711
226	549	6710
227	551	6710
228	554	6708
229	557	6708
230	559	6707
231	562	6705
232	564	6703
233	567	6702
234	569	6700
235	572	6702
236	574	6699
237	577	6701
238	580	6703
239	583	6705
240	586	6709
241	588	6710
242	591	6709
243	594	6710
244	596	6707
245	599	6706
246	601	6706
247	604	6708
248	607	6710
249	610	6711
250	612	6711
251	615	6708
252	618	6710
253	621	6714
254	623	6715
255	626	6714
256	629	6714
257	631	6714
258	634	6712
259	636	6710
260	639	6707
261	641	6706
262	644	6705
263	646	6703
264	649	6702
265	651	6699
266	654	6698
267	656	6694
268	659	6693
269	661	6692
270	664	6692
271	667	6689
272	669	6688
273	672	6685
274	674	6681
275	676	6676
276	679	6676
277	681	6672
278	684	6672
279	686	6668
280	688	6666
281	691	6662
282	693	6660
283	696	6658
284	698	6655
285	701	6653
286	703	6652
287	706	6650
288	708	6648
289	711	6647
290	713	6644
291	716	6640
292	718	6635
293	720	6633
294	723	6630
295	725	6630
296	728	6628
297	730	6626
298	733	6622
299	735	6618
300	737	6615
301	740	6612
302	742	6608
303	744	6605
304	747	6603
305	749	6600
306	751	6595
307	754	6592
308	756	6590
309	759	6586
310	761	6583
311	763	6580
312	766	6576
313	768	6573
314	770	6571
315	773	6567
